CLCROP,CLPAST,CLIDLE,GL,FL,MISC,URBAN,OTHERS
16800,6374,1880,7449,50470,595,1407,4718
19238,5583,1129,5777,49453,626,1849,5882
19233,4412,1333,7390,47827,571,2122,6266
15573,4011,4304,7307,47443,494,2416,7433
16478,4270,2991,6357,48269,382,2717,6442
16290,4087,1653,5533,50672,401,3065,6241
15703,3568,1776,6246,50667,587,2251,6595
15160,2140,930,7209,52317,598,2284,6683
15335,566,2092,9116,52684,428,2756,3865
6586,849,850,3384,15640,378,158,1826
7368,1604,0,2280,16509,378,210,1129
5855,1513,437,3482,16440,314,212,1200
4858,1630,695,3135,17225,322,301,1221
4517,1294,844,3717,17976,311,316,553
5048,2423,923,2864,16892,298,354,914
5467,2478,764,2620,16892,223,450,767
6144,1960,438,1856,16696,218,545,1801
6143,1441,437,2369,16505,200,619,1865
4941,1244,1607,2287,16674,182,749,1847
4794,1327,1298,2206,16991,139,748,1791
4602,1184,677,1946,18589,122,852,1327
4358,936,769,2223,18572,192,599,1607
4411,769,376,2055,19579,189,607,1265
4372,163,638,2715,19495,128,730,884
6130,1651,991,2328,19928,305,152,1530
7182,2472,0,1585,20020,305,192,1143
5868,2419,576,2298,19295,213,213,1831
5627,2270,673,3463,19891,262,282,36
6248,1840,483,2373,20630,277,303,29
7120,2613,469,2895,18237,223,333,478
7296,2469,521,2559,18236,202,420,598
8027,2448,336,2055,18230,218,567,333
7975,2055,476,2948,17324,195,638,616
6698,1938,1552,2950,16896,183,784,1144
7566,2067,793,2532,17423,137,860,669
7635,2034,413,2006,18392,178,931,467
7570,1727,349,2312,18373,221,582,876
7409,736,94,3293,18596,209,589,1039
7466,184,585,4127,18544,175,727,157
3584,1032,519,1503,15836,215,339,5105
3853,1804,0,2152,16186,215,439,3220
3127,1959,408,2721,15906,191,390,3149
2585,2032,438,2760,16129,203,535,3132
2726,1739,547,3343,16018,220,575,2655
3765,1648,549,2674,15342,190,513,3053
4037,1427,595,2270,15342,170,537,3353
5067,1175,355,1866,14527,190,737,3748
5115,916,420,2073,13998,176,865,3785
3934,829,1145,2070,13873,129,883,4442
4118,876,900,1619,13855,107,1109,3982
4053,869,563,1582,13691,101,1282,4447
3775,905,658,1711,13722,174,1070,4112
3340,635,460,1860,14142,200,1088,4380
3497,218,869,2275,14645,125,1299,2825
42617,6378,2828,105086,46318,1335,923,3922
43661,8960,1365,94062,47184,1335,1269,10528
41303,9723,1094,104353,43099,1083,1771,5725
37643,10786,5479,109239,37901,1087,3006,2146
34126,8937,6383,118378,33071,890,3267,1549
33907,16833,5303,111349,32990,1051,3003,2521
35114,15931,2724,112038,33339,731,3144,3768
35801,16327,3714,111477,31674,1072,4801,2066
36898,13889,3779,122286,20890,1062,5672,2133
29113,14614,8610,122410,20506,921,6632,3734
31570,15515,7988,118665,21670,797,6403,3343
32406,17695,6276,115373,18000,964,7170,7819
30744,18498,6429,115750,18007,1144,5321,9638
30684,10718,5553,120442,24779,1191,5382,5989
30753,3855,5896,124359,22013,1286,6661,9383
14354,1759,850,14347,10581,541,190,767
13209,2318,489,13744,10639,541,230,1690
12253,2325,196,16203,10289,394,237,870
11080,2586,1422,15022,10051,335,505,1593
9872,1951,1717,18449,9179,337,535,141
9920,4904,1212,16599,8926,359,506,368
10731,4651,449,16235,9296,263,535,629
10152,4200,726,17549,8471,279,1060,467
10935,3860,650,18396,6810,263,1250,628
9565,4433,1876,17754,6970,250,1471,540
9996,4462,1556,17364,7122,232,1293,765
9793,5360,1184,17314,6233,263,1473,1120
9060,5209,961,17488,6234,318,736,2625
9169,2781,890,18707,7620,334,736,2312
9155,1011,1123,19756,7656,319,856,2593
